company_id,description,formatted_experience_level,formatted_work_type,industries,job_function,job_id,location,title,work_type
1214453,"Lucid Software is the leader in visual collaboration, helping teams see and build the future from idea to reality. We hold true to our core values: innovation in everything we do, passion & excellence in every area, individual empowerment, initiative and ownership, and teamwork over ego. At Lucid, we value diversity and are dedicated to creating an environment and culture that is respectful and inclusive for everyone. Lucid is a hybrid workplace. We promote a healthy work-life balance by allowing employees to work remotely, from one of our offices, or a combination of the two depending on the needs of the role and team.

Since the company’s founding, Lucid Software has received numerous global and regional recognitions for its products, business, and workplace culture. These include being named a Fortune Best Workplace in Technology and a 2022 Glassdoor Best Place to Work, inclusion on the Forbes Cloud 100, and ranking in the top 100 on G2’s 2023 Best Global Software Companies. Top businesses use our products all around the world, including customers such as Google, GE, and NBC Universal. Our partners include industry leaders such as Google, Atlassian, and Microsoft.

The Digital Marketing Manager will play a critical role in the overall growth strategy of Lucid, contributing to both self-serve and demand-gen product motions. We are looking for an individual contributor who will help create, implement, and monitor digital marketing campaigns on various paid social platforms, Ideally, this individual is comfortable with large data sets and has an eye for connecting metrics back to core business KPIs. This role reports to the Senior Digital Marketing Manager.",Mid-Senior level,Full-time,Software Development,Marketing and Sales,3878429310,Software United States,Digital Marketing Manager,FULL-TIME
18677238,"Italic is creating a world of luxury without labels. We believe that luxury today is exclusionary and all about marketing that hurts its customers and manufacturers. Our mission is to create a new model that enables manufacturers to bypass the legacy luxury supply chain and deliver luxury goods with equivalent or better quality directly to consumers. Our customers come to rely on Italic for our quality, timeless design, and radical value.

Italic is seeking an experienced Head of Product to lead our product development, demand planning, and buying cycles. The ideal candidate will bring a strong retail background, hands-on experience as a buyer or merchandiser, and a deep understanding of product lifecycle management from conception to launch. You will be responsible for overseeing the creation of new products that meet our customers' needs and expectations while also ensuring that our inventory aligns with demand forecasts and market trends.





























Joining Italic as the Head of Product offers a unique opportunity to shape the future of our product offerings and significantly impact our growth and success in the retail market. If you are a seasoned retail professional with a passion for product excellence and a track record of driving results, we invite you to apply.





Our culture focuses on performance, integrity, and longevity. We believe that the best brands are not grown through sheer force but rather through deliberate decision-making and persistent effort over a long period of time. We are committed to creating a workplace where talented individuals can thrive in building an enduring, beloved brand that we all take pride in.



We value the effort and work that goes into achieving results rather than just the end result. We believe that investing in our people and processes will lead to better outcomes while also creating a more sustainable and enjoyable environment.



Our company has a flat hierarchy and values the input and ideas of all team members. We believe that everyone has the potential to make a significant contribution to the success of the company.



As a small team, all employees are expected to take ownership in their work. Some might move faster while others are fine with a slower pace. Those who seek to move faster in their career will be able to do so based solely on merit, contribution, and performance.",Director,Full-time,Retail,Product Management and Marketing,3878272981,"Salt Lake City, UT",Head of Product,FULL-TIME
98225244,"Elevate the Experience: Join Our Team as a Housekeeper!

Maintain Cleanliness and Create a Welcoming Environment

Are you passionate about cleanliness and creating a positive atmosphere? We are seeking a dedicated Housekeeper with excellent standards to ensure our facilities are clean and orderly, enhancing the overall customer experience. If you take pride in your work, have an eye for detail, and value exceptional customer service, we invite you to be part of our team!

Your Mission:




Your Responsibilities:




Your Skills:




What We Offer You:




Join Our Team to Make Every Space Sparkle! Apply Today!

Salary/ Wage Range

Compensation for the role will depend on a number of factors, including a candidate’s qualifications, skills, competencies and experience and may fall outside of the range shown.

Benefits:




We are committed to maintaining a diverse and inclusive workplace. We are an equal opportunity and affirmative action employer. We do not discriminate in recruiting, hiring or promotion based on race, ethnicity, gender, gender identity, age, disability or protected veteran status. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for our job opportunities.",Entry level,Full-time,Hospitals and Health Care,Management and Manufacturing,3878278461,"Post Acute & Rehabilitation Lacey, WA",Housekeeper,FULL-TIME
2204084,"Employer Industry: Solar Energy

Why Consider This Job Opportunity















#SolarEnergy #SalesAssistant #RemoteWork #CareerGrowth #DynamicEnvironment

At Talentify, we prioritize candidate privacy and champion equal-opportunity employment. Central to our mission is our partnership with companies that share this commitment. We aim to foster a fair, transparent, and secure hiring environment for all. If you encounter any employer not adhering to these principles, please bring it to our attention immediately.

Talentify is not the EOR (Employer of Record) for this position. Our role in this specific opportunity is to connect outstanding candidates with a top-tier employer.

Talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ATS.",Entry level,Full-time,Administrative and Support Services,Administrative,3878279345,United States,Administrative Assistant (REMOTE),FULL-TIME
28873072,"Come rise above with Yona! Our employees are instrumental in maintaining a happy, healthy, and clean environment for the residents. We depend on our team members to be highly motivated, committed, and compassionate individuals who share our vision and work together to attain it. Our work environment encourages responsibility for personal growth and promotes pride in each employee. You will play an essential role in providing warm and friendly hospitality to all the residents, visitors, and coworkers. Yona is looking for a housekeeper to join the team! Experience is not required, but preferred.
















This posting in no way states or implies that these are the only duties to be performed by the employee occupying this position. Candidates/employees may be required to follow other job-related instructions and to perform other job-related duties as requested, subject to all applicable state and federal laws.

Certain job functions described herein may be subject to possible modification in accordance with applicable state and federal laws.

Yona provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",Entry level,Full-time,Hospitals and Health Care,Management and Manufacturing,3878273680,"Solutions Faribault, MN",Housekeeper,FULL-TIME
28873072,"Come rise above with Yona! Our employees are instrumental in maintaining a happy, healthy, and clean environment for the residents. We depend on our team members to be highly motivated, committed, and compassionate individuals who share our vision and work together to attain it. Our work environment encourages responsibility for personal growth and promotes pride in each employee. You will play an essential role in providing warm and friendly hospitality to all the residents, visitors, and coworkers. Yona is looking for a housekeeper to join the team! Experience is not required, but preferred.

Yona is offering a $2000 bonus for new housekeepers!
















This posting in no way states or implies that these are the only duties to be performed by the employee occupying this position. Candidates/employees may be required to follow other job-related instructions and to perform other job-related duties as requested, subject to all applicable state and federal laws.

Certain job functions described herein may be subject to possible modification in accordance with applicable state and federal laws.

Yona provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

IND123",Entry level,Full-time,Hospitals and Health Care,Management and Manufacturing,3878276405,"Solutions Stillwater, MN",Housekeeper,FULL-TIME
35584382,"Continue your life story with us! At Anthology Senior Living, we exist to make remarkable impacts on the lives we touch. Every resident and employee have a unique story, and by celebrating the individual, we create a stronger community fueled by the power of connection.






:









Anthology Senior Living is proud to be an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.",Entry level,Full-time,Hospitals and Health Care,Sales and Business Development,3878278323,"Senior Living Austin, TX",Sales Counselor,FULL-TIME
18677238,"Italic is creating a world of luxury without labels. We believe that luxury today is exclusionary and all about marketing that hurts its customers and manufacturers. Our mission is to create a new model that enables manufacturers to bypass the legacy luxury supply chain and deliver luxury goods with equivalent or better quality directly to consumers. Our customers come to rely on Italic for our quality, timeless design, and radical value.

Italic is seeking an experienced Head of Product to lead our product development, demand planning, and buying cycles. The ideal candidate will bring a strong retail background, hands-on experience as a buyer or merchandiser, and a deep understanding of product lifecycle management from conception to launch. You will be responsible for overseeing the creation of new products that meet our customers' needs and expectations while also ensuring that our inventory aligns with demand forecasts and market trends.





























Joining Italic as the Head of Product offers a unique opportunity to shape the future of our product offerings and significantly impact our growth and success in the retail market. If you are a seasoned retail professional with a passion for product excellence and a track record of driving results, we invite you to apply.





Our culture focuses on performance, integrity, and longevity. We believe that the best brands are not grown through sheer force but rather through deliberate decision-making and persistent effort over a long period of time. We are committed to creating a workplace where talented individuals can thrive in building an enduring, beloved brand that we all take pride in.



We value the effort and work that goes into achieving results rather than just the end result. We believe that investing in our people and processes will lead to better outcomes while also creating a more sustainable and enjoyable environment.



Our company has a flat hierarchy and values the input and ideas of all team members. We believe that everyone has the potential to make a significant contribution to the success of the company.



As a small team, all employees are expected to take ownership in their work. Some might move faster while others are fine with a slower pace. Those who seek to move faster in their career will be able to do so based solely on merit, contribution, and performance.",Director,Full-time,Retail,Product Management and Marketing,3878275745,"Provo, UT",Head of Product,FULL-TIME
28873072,"Come rise above with Yona! Our employees are instrumental in maintaining a happy, healthy, and clean environment for the residents. We depend on our team members to be highly motivated, committed, and compassionate individuals who share our vision and work together to attain it. Our work environment encourages responsibility for personal growth and promotes pride in each employee. You will play an essential role in providing warm and friendly hospitality to all the residents, visitors, and coworkers. Yona is looking for a housekeeper to join the team! Experience is not required, but preferred.
















This posting in no way states or implies that these are the only duties to be performed by the employee occupying this position. Candidates/employees may be required to follow other job-related instructions and to perform other job-related duties as requested, subject to all applicable state and federal laws.

Certain job functions described herein may be subject to possible modification in accordance with applicable state and federal laws.

Yona provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",Entry level,Full-time,Hospitals and Health Care,Management and Manufacturing,3878274604,"Solutions Texarkana, AR",Housekeeper,FULL-TIME
28873072,"Come rise above with Yona! Our employees are instrumental in maintaining a happy, healthy, and clean environment for the residents. We depend on our team members to be highly motivated, committed, and compassionate individuals who share our vision and work together to attain it. Our work environment encourages responsibility for personal growth and promotes pride in each employee. You will play an essential role in providing warm and friendly hospitality to all the residents, visitors, and coworkers. Yona is looking for a housekeeper to join the team! Experience is not required, but preferred.
















This posting in no way states or implies that these are the only duties to be performed by the employee occupying this position. Candidates/employees may be required to follow other job-related instructions and to perform other job-related duties as requested, subject to all applicable state and federal laws.

Certain job functions described herein may be subject to possible modification in accordance with applicable state and federal laws.

Yona provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",Entry level,Full-time,Hospitals and Health Care,Management and Manufacturing,3878277372,"Solutions Eveleth, MN",Housekeeper,FULL-TIME
2204084,"Employer Industry: Solar Energy

Why Consider This Job Opportunity















#SolarEnergy #SalesAssistant #RemoteWork #CareerGrowth #CompetitivePay

At Talentify, we prioritize candidate privacy and champion equal-opportunity employment. Central to our mission is our partnership with companies that share this commitment. We aim to foster a fair, transparent, and secure hiring environment for all. If you encounter any employer not adhering to these principles, please bring it to our attention immediately.

Talentify is not the EOR (Employer of Record) for this position. Our role in this specific opportunity is to connect outstanding candidates with a top-tier employer.

Talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ATS.",Entry level,Full-time,Administrative and Support Services,Administrative,3878279351,United States,Administrative Assistant (REMOTE),FULL-TIME
2204084,"Employer Industry: Solar Energy

Why Consider This Job Opportunity















#SolarEnergy #SalesAssistant #RemoteWork #CareerGrowth #BenefitsPackage

At Talentify, we prioritize candidate privacy and champion equal-opportunity employment. Central to our mission is our partnership with companies that share this commitment. We aim to foster a fair, transparent, and secure hiring environment for all. If you encounter any employer not adhering to these principles, please bring it to our attention immediately.

Talentify is not the EOR (Employer of Record) for this position. Our role in this specific opportunity is to connect outstanding candidates with a top-tier employer.

Talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ATS.",Entry level,Full-time,Administrative and Support Services,Administrative,3878280286,United States,Administrative Assistant (REMOTE),FULL-TIME
18677238,"Italic is creating a world of luxury without labels. We believe that luxury today is exclusionary and all about marketing that hurts its customers and manufacturers. Our mission is to create a new model that enables manufacturers to bypass the legacy luxury supply chain and deliver luxury goods with equivalent or better quality directly to consumers. Our customers come to rely on Italic for our quality, timeless design, and radical value.

Italic is seeking an experienced Head of Product to lead our product development, demand planning, and buying cycles. The ideal candidate will bring a strong retail background, hands-on experience as a buyer or merchandiser, and a deep understanding of product lifecycle management from conception to launch. You will be responsible for overseeing the creation of new products that meet our customers' needs and expectations while also ensuring that our inventory aligns with demand forecasts and market trends.





























Joining Italic as the Head of Product offers a unique opportunity to shape the future of our product offerings and significantly impact our growth and success in the retail market. If you are a seasoned retail professional with a passion for product excellence and a track record of driving results, we invite you to apply.





Our culture focuses on performance, integrity, and longevity. We believe that the best brands are not grown through sheer force but rather through deliberate decision-making and persistent effort over a long period of time. We are committed to creating a workplace where talented individuals can thrive in building an enduring, beloved brand that we all take pride in.



We value the effort and work that goes into achieving results rather than just the end result. We believe that investing in our people and processes will lead to better outcomes while also creating a more sustainable and enjoyable environment.



Our company has a flat hierarchy and values the input and ideas of all team members. We believe that everyone has the potential to make a significant contribution to the success of the company.



As a small team, all employees are expected to take ownership in their work. Some might move faster while others are fine with a slower pace. Those who seek to move faster in their career will be able to do so based solely on merit, contribution, and performance.",Director,Full-time,Retail,Product Management and Marketing,3878278523,"Park City, UT",Head of Product,FULL-TIME
